frequency_score,sentiment_score,value,company
-0.5,0.2,Customer,Accenture
-0.8,1.4,Diversity,Accenture
1,-0.3,Execution,Accenture
-0.7,1.8,Innovation,Accenture
-0.9,-0.6,Integrity,Accenture
1,-1,Performance,Accenture
-1.2,-0.6,Respect,Accenture
2.1,-1.6,Agility,Adobe
0.8,0.3,Collaboration,Adobe
-0.9,0.3,Customer,Adobe
-1,-0.1,Diversity,Adobe
0.4,-0.4,Execution,Adobe
0.7,2.2,Innovation,Adobe
-0.8,-0.2,Integrity,Adobe
-0.4,-0.9,Performance,Adobe
-0.9,0.4,Respect,Adobe
1.5,-1.2,Agility,ADP
0.8,0.4,Collaboration,ADP
0.4,-0.3,Customer,ADP
-1.3,1.8,Diversity,ADP
1.5,-0.4,Execution,ADP
-0.7,1.5,Innovation,ADP
-0.4,-0.9,Integrity,ADP
-0.6,0.1,Performance,ADP
-1.1,-1,Respect,ADP
-0.3,-1.2,Agility,AdventHealth
0.8,1.3,Collaboration,AdventHealth
2,0.8,Customer,AdventHealth
-0.9,1.7,Diversity,AdventHealth
0.8,-0.9,Execution,AdventHealth
-1.3,0.1,Innovation,AdventHealth
0,-0.3,Integrity,AdventHealth
-1.1,-0.7,Performance,AdventHealth
-0.1,-0.9,Respect,AdventHealth
1.6,-1.3,Agility,Advisory Board
0.9,0.5,Collaboration,Advisory Board
-1.3,1.5,Customer,Advisory Board
-1.2,0.4,Diversity,Advisory Board
1.1,-0.5,Execution,Advisory Board
-0.1,1.3,Innovation,Advisory Board
-0.7,-1.5,Integrity,Advisory Board
0.7,0.4,Performance,Advisory Board
-0.9,-0.7,Respect,Advisory Board
-0.1,-0.8,Agility,Advocate Health Care
1.5,1.5,Collaboration,Advocate Health Care
1.5,1.1,Customer,Advocate Health Care
-0.9,0.6,Diversity,Advocate Health Care
0.9,-0.5,Execution,Advocate Health Care
-1.2,1.1,Innovation,Advocate Health Care
-0.4,-1,Integrity,Advocate Health Care
-0.9,-1.3,Performance,Advocate Health Care
-0.3,-0.7,Respect,Advocate Health Care
1.9,-1,Agility,Aecom
0.6,0.6,Collaboration,Aecom
-0.6,-0.1,Customer,Aecom
-0.6,1.9,Diversity,Aecom
1.4,0.2,Execution,Aecom
-1.2,1.2,Innovation,Aecom
-0.4,-0.6,Integrity,Aecom
-0.7,-1.1,Performance,Aecom
-0.4,-1.1,Respect,Aecom
-0.1,-1.4,Agility,AÌ©ropostale
0.3,1.9,Collaboration,AÌ©ropostale
1.4,1.1,Customer,AÌ©ropostale
-1.2,0.7,Diversity,AÌ©ropostale
0.3,-1.1,Execution,AÌ©ropostale
-1.6,0.2,Innovation,AÌ©ropostale
0,-0.5,Integrity,AÌ©ropostale
-0.7,-0.3,Performance,AÌ©ropostale
1.5,-0.6,Respect,AÌ©ropostale
1.2,-1.2,Agility,Aetna
0.8,0.2,Collaboration,Aetna
-1,0.4,Customer,Aetna
-0.9,1.4,Diversity,Aetna
1.8,-0.6,Execution,Aetna
-1.1,1.7,Innovation,Aetna
0.1,-0.4,Integrity,Aetna
-0.6,0,Performance,Aetna
-0.4,-1.4,Respect,Aetna
0,-1.2,Agility,Aflac
0.1,0.3,Collaboration,Aflac
0,1.3,Customer,Aflac
-0.9,0,Diversity,Aflac
0.6,-0.4,Execution,Aflac
-1,1.2,Innovation,Aflac
2.5,-0.9,Integrity,Aflac
-0.6,1.2,Performance,Aflac
-0.5,-1.3,Respect,Aflac
2.3,-1,Agility,AIG
0.6,0.3,Collaboration,AIG
-0.9,0.7,Customer,AIG
-0.8,1.7,Diversity,AIG
0.7,-0.5,Execution,AIG
-0.8,1.4,Innovation,AIG
-0.6,-0.7,Integrity,AIG
0.1,-1.2,Performance,AIG
-0.6,-0.7,Respect,AIG
2.3,-0.9,Agility,Airbnb
0.6,0.3,Collaboration,Airbnb
-0.5,0.3,Customer,Airbnb
-0.6,1.3,Diversity,Airbnb
1,-1.1,Execution,Airbnb
-0.7,1.9,Innovation,Airbnb
-0.6,-0.4,Integrity,Airbnb
-0.9,-1.2,Performance,Airbnb
-0.4,-0.2,Respect,Airbnb
1.5,-0.6,Agility,Alaska Airlines
0,0.3,Collaboration,Alaska Airlines
1.3,2.3,Customer,Alaska Airlines
-1.5,0.2,Diversity,Alaska Airlines
0.6,-0.9,Execution,Alaska Airlines
-1.4,0.5,Innovation,Alaska Airlines
0.2,-0.5,Integrity,Alaska Airlines
-0.8,0.1,Performance,Alaska Airlines
0.1,-1.4,Respect,Alaska Airlines
0.2,-0.3,Agility,Albertsons
-0.1,1.9,Collaboration,Albertsons
1.4,1.7,Customer,Albertsons
-1.1,-0.4,Diversity,Albertsons
1,-0.7,Execution,Albertsons
-1.6,-0.4,Innovation,Albertsons
-0.1,-0.4,Integrity,Albertsons
-0.9,-0.9,Performance,Albertsons
1.1,-0.5,Respect,Albertsons
1.6,-1.5,Agility,Alcatel-Lucent
0.5,0.2,Collaboration,Alcatel-Lucent
-0.7,0.9,Customer,Alcatel-Lucent
-0.8,1.3,Diversity,Alcatel-Lucent
0.1,-0.2,Execution,Alcatel-Lucent
1.8,1.3,Innovation,Alcatel-Lucent
-0.8,-1.1,Integrity,Alcatel-Lucent
-0.6,-1.1,Performance,Alcatel-Lucent
-1,0.1,Respect,Alcatel-Lucent
2,-1.2,Agility,Alcon
-0.1,1.1,Collaboration,Alcon
-1.1,1,Customer,Alcon
-0.6,1.6,Diversity,Alcon
1.5,-0.5,Execution,Alcon
-0.1,0.5,Innovation,Alcon
-0.8,-0.9,Integrity,Alcon
-0.7,-0.6,Performance,Alcon
-0.2,-1,Respect,Alcon
0.1,-0.3,Agility,Aldi
0,2.4,Collaboration,Aldi
0.5,0.8,Customer,Aldi
-0.9,-1,Diversity,Aldi
1.5,-0.1,Execution,Aldi
-1.7,-0.9,Innovation,Aldi
0.4,-0.2,Integrity,Aldi
-1.1,0.1,Performance,Aldi
1.2,-0.9,Respect,Aldi
1.4,-1.3,Agility,Allergan
0.7,0.8,Collaboration,Allergan
-1,0.6,Customer,Allergan
-1.4,1,Diversity,Allergan
1.7,-0.6,Execution,Allergan
0.1,1.3,Innovation,Allergan
-0.5,-0.8,Integrity,Allergan
-0.4,0.6,Performance,Allergan
-0.6,-1.5,Respect,Allergan
0.6,-0.3,Agility,Allscripts
1.2,-0.5,Collaboration,Allscripts
0.8,0,Customer,Allscripts
-1.5,0.6,Diversity,Allscripts
1.5,-0.1,Execution,Allscripts
-0.7,2.5,Innovation,Allscripts
-0.3,-0.7,Integrity,Allscripts
-0.8,-0.6,Performance,Allscripts
-0.9,-1,Respect,Allscripts
1.8,-1.3,Agility,Allstate
-0.1,1.2,Collaboration,Allstate
0.4,0.9,Customer,Allstate
-0.9,0.9,Diversity,Allstate
1.4,-0.4,Execution,Allstate
-1.2,1.3,Innovation,Allstate
0.1,-0.6,Integrity,Allstate
-0.9,-1.1,Performance,Allstate
-0.7,-1,Respect,Allstate
1.3,-0.6,Agility,Ally Financial
0.4,0.8,Collaboration,Ally Financial
-1,0.9,Customer,Ally Financial
-0.7,0.9,Diversity,Ally Financial
1.9,-0.7,Execution,Ally Financial
-1.1,1.7,Innovation,Ally Financial
0.3,-1.1,Integrity,Ally Financial
-0.6,-0.7,Performance,Ally Financial
-0.5,-1.2,Respect,Ally Financial
2.5,-1.7,Agility,Alphabet (Parent company of Google)
0.4,0.5,Collaboration,Alphabet (Parent company of Google)
-1,-0.1,Customer,Alphabet (Parent company of Google)
-0.8,0.3,Diversity,Alphabet (Parent company of Google)
0.3,0.5,Execution,Alphabet (Parent company of Google)
0.2,2.1,Innovation,Alphabet (Parent company of Google)
-0.6,-0.7,Integrity,Alphabet (Parent company of Google)
-0.4,-0.8,Performance,Alphabet (Parent company of Google)
-0.5,-0.1,Respect,Alphabet (Parent company of Google)
1.5,-0.1,Agility,Amazon
0.4,-0.3,Collaboration,Amazon
-0.5,0.9,Customer,Amazon
-1.8,0.2,Diversity,Amazon
1.5,0,Execution,Amazon
-0.3,2.2,Innovation,Amazon
-0.7,-1,Integrity,Amazon
-0.5,-0.7,Performance,Amazon
0.4,-1.3,Respect,Amazon
1.1,-1.4,Agility,AMD
0.5,0.8,Collaboration,AMD
-1.1,-0.6,Customer,AMD
-1.1,-0.1,Diversity,AMD
1.1,-0.4,Execution,AMD
1.5,1.9,Innovation,AMD
-0.8,-0.7,Integrity,AMD
-0.5,-0.6,Performance,AMD
-0.8,1.1,Respect,AMD
1.4,-0.8,Agility,Amdocs
0.2,0.5,Collaboration,Amdocs
-0.7,1.1,Customer,Amdocs
-0.5,1,Diversity,Amdocs
1.4,-0.1,Execution,Amdocs
1,1.5,Innovation,Amdocs
-1.5,-1,Integrity,Amdocs
-0.4,-1.3,Performance,Amdocs
-1,-0.9,Respect,Amdocs
0.3,-0.8,Agility,Amedisys
-0.1,1.6,Collaboration,Amedisys
2,1.3,Customer,Amedisys
-1.2,-0.2,Diversity,Amedisys
0.5,-0.4,Execution,Amedisys
-1.1,1.1,Innovation,Amedisys
0.9,-0.8,Integrity,Amedisys
-1.1,-0.3,Performance,Amedisys
-0.3,-1.4,Respect,Amedisys
1.4,-0.9,Agility,American Airlines
0.6,1,Collaboration,American Airlines
0.3,0.2,Customer,American Airlines
-0.9,1.8,Diversity,American Airlines
1,-0.7,Execution,American Airlines
-1.7,1.1,Innovation,American Airlines
0,-0.6,Integrity,American Airlines
-1.3,-0.6,Performance,American Airlines
0.7,-1.2,Respect,American Airlines
-0.5,-0.9,Agility,American Eagle Outfitters
0.1,1.2,Collaboration,American Eagle Outfitters
1.9,1.2,Customer,American Eagle Outfitters
-0.7,0.4,Diversity,American Eagle Outfitters
0.4,-1,Execution,American Eagle Outfitters
-1.3,1.4,Innovation,American Eagle Outfitters
-0.3,-0.9,Integrity,American Eagle Outfitters
-0.9,-0.2,Performance,American Eagle Outfitters
1.4,-1.2,Respect,American Eagle Outfitters
2.6,-1.7,Agility,American Express
0.5,0.6,Collaboration,American Express
-0.5,1.7,Customer,American Express
-0.8,1.2,Diversity,American Express
0.1,-0.8,Execution,American Express
-0.3,0.3,Innovation,American Express
-0.6,-0.1,Integrity,American Express
0,-0.6,Performance,American Express
-1,-0.6,Respect,American Express
1.4,-1.5,Agility,Ameriprise Financial
0.3,0,Collaboration,Ameriprise Financial
1,1.8,Customer,Ameriprise Financial
-1.1,-0.4,Diversity,Ameriprise Financial
1.2,-0.7,Execution,Ameriprise Financial
-1.3,1.4,Innovation,Ameriprise Financial
0.3,0.5,Integrity,Ameriprise Financial
-0.9,-0.6,Performance,Ameriprise Financial
-0.8,-0.6,Respect,Ameriprise Financial
1.6,-0.8,Agility,American Family Insurance
-0.2,0.8,Collaboration,American Family Insurance
0.6,1.5,Customer,American Family Insurance
-1,0.2,Diversity,American Family Insurance
1.5,-0.7,Execution,American Family Insurance
-1.2,1.6,Innovation,American Family Insurance
0.2,-0.5,Integrity,American Family Insurance
-0.8,-1.1,Performance,American Family Insurance
-0.7,-1,Respect,American Family Insurance
2,-1.3,Agility,Amgen
0.3,0.6,Collaboration,Amgen
-0.6,1.3,Customer,Amgen
-1.3,0.7,Diversity,Amgen
0.4,-0.7,Execution,Amgen
1.1,1.6,Innovation,Amgen
-0.6,-0.4,Integrity,Amgen
-0.6,-0.6,Performance,Amgen
-0.8,-1.2,Respect,Amgen
-0.5,-1.1,Agility,Ann Inc.
0.4,1.3,Collaboration,Ann Inc.
2.1,0.8,Customer,Ann Inc.
-0.6,0.6,Diversity,Ann Inc.
1,-0.3,Execution,Ann Inc.
-1.6,1.4,Innovation,Ann Inc.
-0.1,-1,Integrity,Ann Inc.
-0.7,-0.4,Performance,Ann Inc.
0,-1.3,Respect,Ann Inc.
1.4,-1.1,Agility,Anthem
0.6,0.2,Collaboration,Anthem
-0.8,0.7,Customer,Anthem
-0.7,1.8,Diversity,Anthem
1.9,-0.7,Execution,Anthem
-1,1.1,Innovation,Anthem
-0.4,-0.1,Integrity,Anthem
-0.8,-0.8,Performance,Anthem
-0.2,-1.3,Respect,Anthem
-0.2,-0.2,Agility,Anthropologie
0.3,1.6,Collaboration,Anthropologie
1.4,1.3,Customer,Anthropologie
-0.3,0,Diversity,Anthropologie
0.9,-0.9,Execution,Anthropologie
-1.7,1.1,Innovation,Anthropologie
-0.1,-0.9,Integrity,Anthropologie
-1.3,-0.9,Performance,Anthropologie
1.1,-1.1,Respect,Anthropologie
1.3,-1.2,Agility,Aon
1.3,0.8,Collaboration,Aon
-0.4,1.7,Customer,Aon
-1,0.3,Diversity,Aon
1.5,-0.2,Execution,Aon
-1.2,1.2,Innovation,Aon
-0.9,-1.3,Integrity,Aon
-0.1,-0.5,Performance,Aon
-0.5,-0.8,Respect,Aon
0.3,-0.7,Agility,Apple
0.5,0.7,Collaboration,Apple
1.7,0.2,Customer,Apple
-1.2,1.3,Diversity,Apple
1.4,-0.7,Execution,Apple
-0.1,1.9,Innovation,Apple
-0.8,-0.9,Integrity,Apple
-1.1,-0.6,Performance,Apple
-0.8,-1,Respect,Apple
1.7,-1.2,Agility,Applied Materials
0.6,-0.2,Collaboration,Applied Materials
-0.8,0.5,Customer,Applied Materials
-0.7,0.8,Diversity,Applied Materials
0.5,-0.9,Execution,Applied Materials
1.4,2.2,Innovation,Applied Materials
-1,-0.2,Integrity,Applied Materials
-0.9,-0.3,Performance,Applied Materials
-0.8,-0.9,Respect,Applied Materials
0.2,-0.4,Agility,Apria Healthcare
0,1,Collaboration,Apria Healthcare
2.3,-0.3,Customer,Apria Healthcare
-1.1,0.7,Diversity,Apria Healthcare
0.8,-0.5,Execution,Apria Healthcare
-0.9,1.6,Innovation,Apria Healthcare
-0.2,-1.3,Integrity,Apria Healthcare
-0.9,0.7,Performance,Apria Healthcare
-0.2,-1.5,Respect,Apria Healthcare
-0.7,-0.5,Agility,Arby‰Ûªs
0.4,0.5,Collaboration,Arby‰Ûªs
1.4,0.9,Customer,Arby‰Ûªs
-0.8,-0.7,Diversity,Arby‰Ûªs
0.7,-0.6,Execution,Arby‰Ûªs
-1.5,2.3,Innovation,Arby‰Ûªs
0,-0.6,Integrity,Arby‰Ûªs
-1,-0.4,Performance,Arby‰Ûªs
1.5,-0.9,Respect,Arby‰Ûªs
1.6,-0.7,Agility,Arrow Electronics
0.8,1,Collaboration,Arrow Electronics
-1.4,0.9,Customer,Arrow Electronics
-1.3,0,Diversity,Arrow Electronics
1.4,-0.6,Execution,Arrow Electronics
-0.6,1.9,Innovation,Arrow Electronics
-0.1,-1.3,Integrity,Arrow Electronics
-0.4,-0.3,Performance,Arrow Electronics
0,-0.9,Respect,Arrow Electronics
1,-1.1,Agility,Ascension 
0.5,1.5,Collaboration,Ascension 
1,0.8,Customer,Ascension 
-1.1,-0.3,Diversity,Ascension 
1.3,-1,Execution,Ascension 
-1.6,1.5,Innovation,Ascension 
0.3,-0.3,Integrity,Ascension 
-1.2,0,Performance,Ascension 
-0.3,-1.1,Respect,Ascension 
1.5,-1.2,Agility,AstraZeneca
0.6,0.4,Collaboration,AstraZeneca
-0.2,1.9,Customer,AstraZeneca
-1.3,0.1,Diversity,AstraZeneca
0.7,-0.6,Execution,AstraZeneca
1.3,1,Innovation,AstraZeneca
-0.6,0.3,Integrity,AstraZeneca
-0.7,-1.2,Performance,AstraZeneca
-1.2,-0.7,Respect,AstraZeneca
1.1,-0.6,Agility,Asurion
0.4,0.3,Collaboration,Asurion
1.1,-0.1,Customer,Asurion
-1.8,0.3,Diversity,Asurion
1.1,-0.8,Execution,Asurion
-1.3,2.3,Innovation,Asurion
0.2,-1.1,Integrity,Asurion
-0.2,0.6,Performance,Asurion
-0.6,-0.9,Respect,Asurion
1.3,-0.7,Agility,AT&T
-0.2,0.3,Collaboration,AT&T
0.7,-0.2,Customer,AT&T
-1.5,1.2,Diversity,AT&T
1.7,-0.6,Execution,AT&T
-0.5,2.2,Innovation,AT&T
0,-0.8,Integrity,AT&T
-1.1,-0.4,Performance,AT&T
-0.5,-0.8,Respect,AT&T
0.3,-1,Agility,Atrium Health
1.4,1.3,Collaboration,Atrium Health
1.8,1,Customer,Atrium Health
-1.1,0.8,Diversity,Atrium Health
0.5,-0.9,Execution,Atrium Health
-1.3,1.3,Innovation,Atrium Health
-0.4,-0.7,Integrity,Atrium Health
-0.8,-0.7,Performance,Atrium Health
-0.5,-1.1,Respect,Atrium Health
2.1,-1.2,Agility,Autodesk
1,-0.5,Collaboration,Autodesk
-0.8,0,Customer,Autodesk
-0.9,0.6,Diversity,Autodesk
0.3,-0.5,Execution,Autodesk
0.6,2.5,Innovation,Autodesk
-0.8,-0.5,Integrity,Autodesk
-0.8,0,Performance,Autodesk
-0.7,-0.4,Respect,Autodesk
0.3,-0.9,Agility,Avis Budget Group
0.3,1.2,Collaboration,Avis Budget Group
1.5,1.3,Customer,Avis Budget Group
-1.2,0.5,Diversity,Avis Budget Group
0.8,-0.2,Execution,Avis Budget Group
-1.6,-0.5,Innovation,Avis Budget Group
0.8,-1.8,Integrity,Avis Budget Group
-1.1,1,Performance,Avis Budget Group
0.3,-0.5,Respect,Avis Budget Group
2.4,-0.7,Agility,Avnet
0.6,1.7,Collaboration,Avnet
-0.6,1.4,Customer,Avnet
-0.9,-0.3,Diversity,Avnet
0.6,-0.2,Execution,Avnet
-0.9,0.3,Innovation,Avnet
-0.3,0.4,Integrity,Avnet
-0.4,-1.2,Performance,Avnet
-0.5,-1.4,Respect,Avnet
1.8,-1.2,Agility,Avon Products
0,0.5,Collaboration,Avon Products
-0.2,-0.4,Customer,Avon Products
-0.7,2.1,Diversity,Avon Products
1.6,-0.1,Execution,Avon Products
-0.8,1.1,Innovation,Avon Products
0.2,-0.3,Integrity,Avon Products
-1.3,-0.9,Performance,Avon Products
-0.6,-0.8,Respect,Avon Products
0.4,-1.2,Agility,Bain & Company
1,2.1,Collaboration,Bain & Company
1.9,0.1,Customer,Bain & Company
-0.6,0.4,Diversity,Bain & Company
-0.5,-0.8,Execution,Bain & Company
-0.8,-0.8,Innovation,Bain & Company
-0.8,-0.6,Integrity,Bain & Company
0.7,-0.4,Performance,Bain & Company
-1.2,1,Respect,Bain & Company
2,-1,Agility,Baker Hughes
0.9,-0.1,Collaboration,Baker Hughes
-1.1,-0.3,Customer,Baker Hughes
-0.8,1.9,Diversity,Baker Hughes
0.9,-0.1,Execution,Baker Hughes
-0.6,1.5,Innovation,Baker Hughes
-0.9,0.1,Integrity,Baker Hughes
0.1,-1,Performance,Baker Hughes
-0.5,-0.9,Respect,Baker Hughes
-0.2,-1,Agility,Banana Republic
0.5,1.5,Collaboration,Banana Republic
2,1.2,Customer,Banana Republic
-0.8,1.4,Diversity,Banana Republic
0.2,-0.9,Execution,Banana Republic
-1.6,-0.1,Innovation,Banana Republic
-0.1,-0.5,Integrity,Banana Republic
-0.9,-0.9,Performance,Banana Republic
0.8,-0.6,Respect,Banana Republic
1.5,-1.1,Agility,Bank of America
0.2,0.8,Collaboration,Bank of America
0.7,0,Customer,Bank of America
-0.9,1.8,Diversity,Bank of America
1.5,-0.6,Execution,Bank of America
-1.4,1.4,Innovation,Bank of America
-0.4,-0.9,Integrity,Bank of America
-0.5,-0.3,Performance,Bank of America
-0.9,-1,Respect,Bank of America
0.4,-1,Agility,Banner Health
0.9,1.1,Collaboration,Banner Health
1.7,0.9,Customer,Banner Health
-1.3,0.1,Diversity,Banner Health
1.1,-0.6,Execution,Banner Health
-1,2,Innovation,Banner Health
-0.3,-1,Integrity,Banner Health
-1,-0.7,Performance,Banner Health
-0.4,-0.6,Respect,Banner Health
2.2,-1.2,Agility,Barclays
0.9,1.2,Collaboration,Barclays
-1.1,1.1,Customer,Barclays
-0.5,1,Diversity,Barclays
0.6,-0.8,Execution,Barclays
-0.8,1.1,Innovation,Barclays
-0.3,-1,Integrity,Barclays
-0.3,-0.2,Performance,Barclays
-0.8,-1.1,Respect,Barclays
2.4,-1.2,Agility,Baxter
0.4,0.2,Collaboration,Baxter
-0.7,2.3,Customer,Baxter
-0.8,1,Diversity,Baxter
0.9,-0.7,Execution,Baxter
-0.5,-0.4,Innovation,Baxter
-0.6,0.1,Integrity,Baxter
-0.6,-0.6,Performance,Baxter
-0.4,-0.7,Respect,Baxter
2.2,-1.8,Agility,Bayer
0.9,0.7,Collaboration,Bayer
-1.2,0.6,Customer,Bayer
-0.5,1.4,Diversity,Bayer
0.6,-0.4,Execution,Bayer
0,0.9,Innovation,Bayer
-0.4,-0.1,Integrity,Bayer
-0.8,0.1,Performance,Bayer
-0.8,-1.4,Respect,Bayer
0.3,-0.9,Agility,Baylor Scott & White Health
1.4,1.5,Collaboration,Baylor Scott & White Health
1.7,1.3,Customer,Baylor Scott & White Health
-1.1,0.8,Diversity,Baylor Scott & White Health
0.7,-0.6,Execution,Baylor Scott & White Health
-1.1,0.8,Innovation,Baylor Scott & White Health
-0.3,-1,Integrity,Baylor Scott & White Health
-0.9,-1.2,Performance,Baylor Scott & White Health
-0.5,-0.7,Respect,Baylor Scott & White Health
0.9,-1.3,Agility,BB&T
-0.2,1.4,Collaboration,BB&T
1.4,1.7,Customer,BB&T
-0.8,-0.1,Diversity,BB&T
1.5,-0.3,Execution,BB&T
-1.5,-0.2,Innovation,BB&T
0.2,0.5,Integrity,BB&T
-0.8,-0.4,Performance,BB&T
-0.7,-1.4,Respect,BB&T
0.9,-0.8,Agility,BBVA Compass
0.2,1.1,Collaboration,BBVA Compass
0.8,0.4,Customer,BBVA Compass
-0.8,1,Diversity,BBVA Compass
2,-0.9,Execution,BBVA Compass
-1.1,1.7,Innovation,BBVA Compass
-0.6,-0.9,Integrity,BBVA Compass
-0.7,-0.3,Performance,BBVA Compass
-0.7,-1.2,Respect,BBVA Compass
1.2,-0.9,Agility,Boston Consulting Group
1.5,1.6,Collaboration,Boston Consulting Group
0.2,0.6,Customer,Boston Consulting Group
-0.6,1,Diversity,Boston Consulting Group
0.7,-0.7,Execution,Boston Consulting Group
-1.4,0.3,Innovation,Boston Consulting Group
-1.2,-1.8,Integrity,Boston Consulting Group
0.5,-0.4,Performance,Boston Consulting Group
-0.9,0.4,Respect,Boston Consulting Group
2.4,-1.5,Agility,BDåÊåÊ
0.5,0.7,Collaboration,BDåÊåÊ
-1.1,1.3,Customer,BDåÊåÊ
-0.9,-0.7,Diversity,BDåÊåÊ
0.5,-0.5,Execution,BDåÊåÊ
0,0.8,Innovation,BDåÊåÊ
-0.3,1.5,Integrity,BDåÊåÊ
-0.8,-0.9,Performance,BDåÊåÊ
-0.3,-0.7,Respect,BDåÊåÊ
1.9,-1.9,Agility,Bechtel
0.2,0.7,Collaboration,Bechtel
-1.6,-0.5,Customer,Bechtel
-0.3,1.3,Diversity,Bechtel
1.2,0.3,Execution,Bechtel
-1.1,0.6,Innovation,Bechtel
0.1,1.1,Integrity,Bechtel
0,-0.5,Performance,Bechtel
-0.5,-1.1,Respect,Bechtel
1.2,-0.6,Agility,Benefitfocus
0.5,0.6,Collaboration,Benefitfocus
1.3,0.5,Customer,Benefitfocus
-1.7,-1.1,Diversity,Benefitfocus
1,-0.8,Execution,Benefitfocus
-0.8,2.3,Innovation,Benefitfocus
-0.1,-0.7,Integrity,Benefitfocus
-0.7,-0.3,Performance,Benefitfocus
-0.7,0.1,Respect,Benefitfocus
-0.4,-0.4,Agility,Best Western
-0.1,1,Collaboration,Best Western
0.9,2.1,Customer,Best Western
-1,0.4,Diversity,Best Western
1.7,0,Execution,Best Western
-1.4,-1.3,Innovation,Best Western
0.4,-1.1,Integrity,Best Western
-1.2,-0.4,Performance,Best Western
1,-0.2,Respect,Best Western
0,0.2,Agility,Big Lots
-0.2,2.1,Collaboration,Big Lots
1.3,1,Customer,Big Lots
-1,-1,Diversity,Big Lots
1.1,-0.6,Execution,Big Lots
-1.5,0.5,Innovation,Big Lots
0.1,-1,Integrity,Big Lots
-1.1,-0.7,Performance,Big Lots
1.3,-0.6,Respect,Big Lots
1.5,-0.9,Agility,Biogen
1.3,0.2,Collaboration,Biogen
0.4,1.5,Customer,Biogen
-1.2,0.6,Diversity,Biogen
0.3,-0.8,Execution,Biogen
0.7,1.7,Innovation,Biogen
-0.7,-0.6,Integrity,Biogen
-1.2,-0.8,Performance,Biogen
-1,-0.9,Respect,Biogen
0.3,-0.6,Agility,BJ‰Ûªs Wholesale Club
0.6,1.5,Collaboration,BJ‰Ûªs Wholesale Club
-0.3,1.9,Customer,BJ‰Ûªs Wholesale Club
-1.3,-0.9,Diversity,BJ‰Ûªs Wholesale Club
1.4,-0.2,Execution,BJ‰Ûªs Wholesale Club
-1.6,0.2,Innovation,BJ‰Ûªs Wholesale Club
0.3,-0.9,Integrity,BJ‰Ûªs Wholesale Club
-0.7,0,Performance,BJ‰Ûªs Wholesale Club
1.2,-1.1,Respect,BJ‰Ûªs Wholesale Club
2.4,-1.3,Agility,BlackRock
0.6,-0.1,Collaboration,BlackRock
-1,2.1,Customer,BlackRock
-0.6,0.1,Diversity,BlackRock
0.3,-0.8,Execution,BlackRock
0,1.1,Innovation,BlackRock
-0.9,0.2,Integrity,BlackRock
0,-0.6,Performance,BlackRock
-0.9,-0.7,Respect,BlackRock
2.2,-0.5,Agility,Bloomberg L.P.
0.5,1.4,Collaboration,Bloomberg L.P.
-1,0.6,Customer,Bloomberg L.P.
-1,0.2,Diversity,Bloomberg L.P.
0.8,-0.5,Execution,Bloomberg L.P.
