frequency_score,sentiment_score,value,company
2,-1.6,Agility,3M
0.4,0.7,Collaboration,3M
-1.3,0.2,Customer,3M
-0.6,0.7,Diversity,3M
0.5,-0.3,Execution,3M
1,1.4,Innovation,3M
-0.5,1,Integrity,3M
-0.7,-1.2,Performance,3M
-0.8,-0.9,Respect,3M
1,0.1,Agility,Anheuser-Busch InBev
0.5,0,Collaboration,Anheuser-Busch InBev
-1.6,-1.1,Customer,Anheuser-Busch InBev
-0.5,-0.7,Diversity,Anheuser-Busch InBev
1.4,0.6,Execution,Anheuser-Busch InBev
-1.5,2,Innovation,Anheuser-Busch InBev
-0.2,-1,Integrity,Anheuser-Busch InBev
0.7,0.9,Performance,Anheuser-Busch InBev
0.2,-0.8,Respect,Anheuser-Busch InBev
2.4,-1.3,Agility,ABB
0.9,-0.2,Collaboration,ABB
-0.6,-0.3,Customer,ABB
-0.5,1.5,Diversity,ABB
0.4,-0.7,Execution,ABB
-0.2,1.5,Innovation,ABB
-0.6,0.9,Integrity,ABB
-0.8,-1.1,Performance,ABB
-0.9,-0.3,Respect,ABB
2.1,-1.2,Agility,Abbott Laboratories
0.5,0.3,Collaboration,Abbott Laboratories
-1.2,1.9,Customer,Abbott Laboratories
-0.8,0.8,Diversity,Abbott Laboratories
1,-0.8,Execution,Abbott Laboratories
0.2,1,Innovation,Abbott Laboratories
-0.7,-0.6,Integrity,Abbott Laboratories
-0.7,-0.4,Performance,Abbott Laboratories
-0.4,-1.1,Respect,Abbott Laboratories
2.2,-1,Agility,AbbVie
0.9,0.5,Collaboration,AbbVie
-0.8,2.2,Customer,AbbVie
-0.8,0.1,Diversity,AbbVie
0.3,-0.5,Execution,AbbVie
0.4,1,Innovation,AbbVie
-0.6,-0.6,Integrity,AbbVie
-0.8,-0.8,Performance,AbbVie
-0.9,-0.9,Respect,AbbVie
-0.3,-0.4,Agility,Abercrombie & Fitch
-0.3,1.3,Collaboration,Abercrombie & Fitch
1,0.9,Customer,Abercrombie & Fitch
0.5,0.2,Diversity,Abercrombie & Fitch
0.8,-0.7,Execution,Abercrombie & Fitch
-2.1,1.7,Innovation,Abercrombie & Fitch
0.6,-1.2,Integrity,Abercrombie & Fitch
-1.2,-0.8,Performance,Abercrombie & Fitch
0.9,-1,Respect,Abercrombie & Fitch
1.8,-1.3,Agility,Accenture
0.3,0.3,Collaboration,Accenture
